...1,meanhighscores,percentmill,mytriggs,num_creatures1,num_creatures2,num_creatures3,players,creatureSum,TEC
1,0,0,1,0,0,0,0 0 0,0,0
2,0,0,2,0,0,0,0 0 0,0,0
3,0,0,3,0,0,0,0 0 0,0,0
4,0,0,4,0,0,0,0 0 0,0,0
5,0.0103,0,1,0,0,1,0 0 1,1,1
6,0.022,0,2,0,0,1,0 0 1,1,2
7,0.0281,0,3,0,0,1,0 0 1,1,3
8,0.0386,0,4,0,0,1,0 0 1,1,4
9,0.0211,0,1,0,0,2,0 0 2,2,2
10,0.0417,0,2,0,0,2,0 0 2,2,4
11,0.0648,0,3,0,0,2,0 0 2,2,6
12,0.0877,0,4,0,0,2,0 0 2,2,8
13,0.0309,0,1,0,0,3,0 0 3,3,3
14,0.0643,0,2,0,0,3,0 0 3,3,6
15,0.0978,0,3,0,0,3,0 0 3,3,9
16,0.1447,0,4,0,0,3,0 0 3,3,12
17,0.0408,0,1,0,0,4,0 0 4,4,4
18,0.0822,0,2,0,0,4,0 0 4,4,8
19,0.1395,0,3,0,0,4,0 0 4,4,12
20,0.1901,0,4,0,0,4,0 0 4,4,16
21,0.0519,0,1,0,0,5,0 0 5,5,5
22,0.1075,0,2,0,0,5,0 0 5,5,10
23,0.1674,0,3,0,0,5,0 0 5,5,15
24,0.2505,0,4,0,0,5,0 0 5,5,20
25,0.0667,0,1,0,0,6,0 0 6,6,6
26,0.1291,0,2,0,0,6,0 0 6,6,12
27,0.2223,0,3,0,0,6,0 0 6,6,18
28,0.3363,0,4,0,0,6,0 0 6,6,24
29,0.068,0,1,0,0,7,0 0 7,7,7
30,0.1571,0,2,0,0,7,0 0 7,7,14
31,0.2619,0,3,0,0,7,0 0 7,7,21
32,0.4399,0,4,0,0,7,0 0 7,7,28
33,0.0815,0,1,0,0,8,0 0 8,8,8
34,0.1748,0,2,0,0,8,0 0 8,8,16
35,0.3148,0,3,0,0,8,0 0 8,8,24
36,0.5319,0,4,0,0,8,0 0 8,8,32
37,0.089,0,1,0,0,9,0 0 9,9,9
38,0.1914,0,2,0,0,9,0 0 9,9,18
39,0.3827,0,3,0,0,9,0 0 9,9,27
40,0.6445,0,4,0,0,9,0 0 9,9,36
41,0.1011,0,1,0,0,10,0 0 10,10,10
42,0.2213,0,2,0,0,10,0 0 10,10,20
43,0.4241,0,3,0,0,10,0 0 10,10,30
44,0.7136,0,4,0,0,10,0 0 10,10,40
45,0.1118,0,1,0,0,11,0 0 11,11,11
46,0.249,0,2,0,0,11,0 0 11,11,22
47,0.4754,0,3,0,0,11,0 0 11,11,33
48,0.8284,0,4,0,0,11,0 0 11,11,44
49,0.1219,0,1,0,0,12,0 0 12,12,12
50,0.2739,0,2,0,0,12,0 0 12,12,24
51,0.5534,0,3,0,0,12,0 0 12,12,36
52,1.0387,0,4,0,0,12,0 0 12,12,48
53,0.1283,0,1,0,0,13,0 0 13,13,13
54,0.3103,0,2,0,0,13,0 0 13,13,26
55,0.6895,0,3,0,0,13,0 0 13,13,39
56,1.1787,0,4,0,0,13,0 0 13,13,52
57,0.146,0,1,0,0,14,0 0 14,14,14
58,0.3247,0,2,0,0,14,0 0 14,14,28
59,0.6926,0,3,0,0,14,0 0 14,14,42
60,1.283,0,4,0,0,14,0 0 14,14,56
61,0.1564,0,1,0,0,15,0 0 15,15,15
62,0.3624,0,2,0,0,15,0 0 15,15,30
63,0.8294,0,3,0,0,15,0 0 15,15,45
64,1.5943,0,4,0,0,15,0 0 15,15,60
65,0.1611,0,1,0,0,16,0 0 16,16,16
66,0.3739,0,2,0,0,16,0 0 16,16,32
67,0.9193,0,3,0,0,16,0 0 16,16,48
68,1.8681,0,4,0,0,16,0 0 16,16,64
69,0.1684,0,1,0,0,17,0 0 17,17,17
70,0.421,0,2,0,0,17,0 0 17,17,34
71,0.9909,0,3,0,0,17,0 0 17,17,51
